Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|802.11mc|Security
2022/04/25-18:57:03|Meeting-Room2|00:be:75:dd:67:84|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/25-18:57:03|ntu|00:be:75:dd:67:84|-54dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~4.9m|false|[ESS]
2022/04/25-18:57:03|iPortal|00:be:75:dd:67:86|-51dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~3.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|BP|00:be:75:dd:67:87|-51dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~3.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|IOT|00:be:75:dd:67:87|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[ESS]
2022/04/25-18:57:03|BP|00:be:75:dd:67:88|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|IOT|00:be:75:dd:67:88|-52dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~3.9m|false|[ESS]
2022/04/25-18:57:03|iPortal|00:be:75:dd:67:89|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|Crop|00:be:75:dd:67:8a|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|NTUH-APP|00:be:75:dd:67:8a|-51dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~3.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|Meeting-Room2|00:be:75:dd:67:8b|-50dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~3.1m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/25-18:57:03|ntu|00:be:75:dd:67:8b|-50dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.4m|false|[ESS]
2022/04/25-18:57:03|wifiphone|00:be:75:dd:67:8c|-50dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.4m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/25-18:57:03|WARD-N|00:be:75:dd:67:8d|-51dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.5m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|NTUHW|00:be:75:dd:67:8e|-50dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|iTaiwan|00:be:75:dd:67:8f|-50dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~1.4m|false|[ESS]
2022/04/25-18:57:03|iTaiwan|00:be:75:dd:72:40|-81dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~110.9m|false|[ESS]
2022/04/25-18:57:03|Meeting-Room2|00:be:75:dd:72:44|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/25-18:57:03|IOT|00:be:75:dd:72:47|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[ESS]
2022/04/25-18:57:03|BP|00:be:75:dd:72:48|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|iPortal|00:be:75:dd:72:49|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|Crop|00:be:75:dd:72:4a|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[WPA2-PSK-CCMP][ESS]
2022/04/25-18:57:03|ntu|00:be:75:dd:72:4b|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[ESS]
2022/04/25-18:57:03|wifiphone|00:be:75:dd:72:4c|-76dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~27.0m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/25-18:57:03|WARD-N|00:be:75:dd:72:4d|-75dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~24.0m|false|[WPA2-PSK-CCMP][ESS]
