Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|802.11mc|Security
2022/04/29-19:52:39|Meeting-Room2|00:be:75:09:dc:44|-67dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~9.3m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:52:39|ntu|00:be:75:09:dc:44|-72dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~38.6m|false|[ESS]
2022/04/29-19:52:39|Crop|00:be:75:09:dc:45|-72dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~38.6m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|iPortal|00:be:75:09:dc:46|-71dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~34.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|BP|00:be:75:09:dc:47|-71dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~34.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|IOT|00:be:75:09:dc:47|-67dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~9.3m|false|[ESS]
2022/04/29-19:52:39|BP|00:be:75:09:dc:48|-67dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~9.3m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|IOT|00:be:75:09:dc:48|-71dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~34.4m|false|[ESS]
2022/04/29-19:52:39|iPortal|00:be:75:09:dc:49|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|Crop|00:be:75:09:dc:4a|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|NTUH-APP|00:be:75:09:dc:4a|-71dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~34.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|ntu|00:be:75:09:dc:4b|-67dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~9.3m|false|[ESS]
2022/04/29-19:52:39|wifiphone|00:be:75:09:dc:4c|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:52:39|WARD-N|00:be:75:09:dc:4d|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|NTUHW|00:be:75:09:dc:4e|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[WPA2-PSK-CCMP][ESS]
2022/04/29-19:52:39|iTaiwan|00:be:75:09:dc:4f|-68dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~10.4m|false|[ESS]
2022/04/29-19:52:39|Meeting-Room2|00:be:75:76:98:04|-85dBm|157|5785MHz|157|5785MHz|20MHz (5775 - 5795)|~73.3m|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/04/29-19:52:39|IOT|00:be:75:76:98:07|-85dBm|157|5785MHz|157|5785MHz|20MHz (5775 - 5795)|~73.3m|false|[ESS]
2022/04/29-19:52:39|BP|00:be:75:76:98:08|-85dBm|157|5785MHz|157|5785MHz|20MHz (5775 - 5795)|~73.3m|false|[WPA2-PSK-CCMP][ESS]
