Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-19:40:29|wifiphone|00:be:75:d5:1c:c3|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176444927470|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|Meeting-Room2|00:be:75:d5:1c:c4|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927761|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|BP|00:be:75:d5:1c:c7|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176444927671|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|IOT|00:be:75:d5:1c:c7|-68dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~10.7m|176444927757|false|[ESS]
2022/09/04-19:40:29|BP|00:be:75:d5:1c:c8|-68dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~10.7m|176444927754|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|IOT|00:be:75:d5:1c:c8|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176444927674|false|[ESS]
2022/09/04-19:40:29|iPortal|00:be:75:d5:1c:c9|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927551|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|Crop|00:be:75:d5:1c:ca|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927749|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|NTUH-APP|00:be:75:d5:1c:ca|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176444927680|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|ntu|00:be:75:d5:1c:cb|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927544|false|[ESS]
2022/09/04-19:40:29|wifiphone|00:be:75:d5:1c:cc|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927538|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|WARD-N|00:be:75:d5:1c:cd|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927531|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|NTUHW|00:be:75:d5:1c:ce|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927328|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|iTaiwan|00:be:75:d5:1c:cf|-67dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~9.6m|176444927320|false|[ESS]
2022/09/04-19:40:29|Crop|00:be:75:d5:24:4a|-86dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~82.8m|176444927657|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|ntu|00:be:75:d5:24:4b|-85dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~73.8m|176444927651|false|[ESS]
2022/09/04-19:40:29|wifiphone|00:be:75:d5:24:4c|-86dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~82.8m|176444927637|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|NTUHW|00:be:75:d5:33:a1|-69dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~27.6m|176444927355|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|WARD-N|00:be:75:d5:33:a2|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176444927360|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:40:29|wifiphone|00:be:75:d5:33:a3|-69dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~27.6m|176444927799|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|Meeting-Room2|00:be:75:d5:33:a4|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176444927767|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:40:29|ntu|00:be:75:d5:33:a4|-68dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~24.6m|176444927365|false|[ESS]
