Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:24:47|BP|00:be:75:dd:75:08|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|IOT|00:be:75:dd:75:08|-76dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~61.1m|179093519336|false|[ESS]
2022/09/04-20:24:47|iPortal|00:be:75:dd:75:09|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|Crop|00:be:75:dd:75:0a|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUH-APP|00:be:75:dd:75:0a|-75dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~54.5m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|00:be:75:dd:75:0b|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|wifiphone|00:be:75:dd:75:0c|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|00:be:75:dd:75:0d|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHW|00:be:75:dd:75:0e|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|00:be:75:dd:75:0f|-63dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~6.0m|179093519336|false|[ESS]
2022/09/04-20:24:47|iTaiwan|00:fc:ba:57:74:60|-80dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~96.9m|179093519336|false|[ESS]
2022/09/04-20:24:47|NTUHW|00:fc:ba:57:74:61|-80dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~96.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|00:fc:ba:57:74:62|-80dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~96.9m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|BP|00:fc:ba:57:74:64|-80dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~43.4m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|IOT|00:fc:ba:57:74:65|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[ESS]
2022/09/04-20:24:47|ntu|00:fc:ba:57:74:67|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[ESS]
2022/09/04-20:24:47|*hidden*|00:fc:ba:57:74:68|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[ESS]
2022/09/04-20:24:47|iPortal|00:fc:ba:57:74:69|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|Crop|00:fc:ba:57:74:6a|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHM|00:fc:ba:57:74:6b|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|wifiphone|00:fc:ba:57:74:6c|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|00:fc:ba:57:74:6d|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHW|00:fc:ba:57:74:6e|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|00:fc:ba:57:74:6f|-79dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~38.6m|179093519336|false|[ESS]
2022/09/04-20:24:47|Wayne's Iphone|26:d6:8e:fe:79:ef|-44dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~1.6m|179093519336|false|[WPA2-PSK+SAE-CCMP][PMF-OPT][ESS]
2022/09/04-20:24:47|WARD-N|28:ac:9e:5c:a8:22|-84dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~156.7m|179093519336|false|[WPA2-PSK-CCMP][ESS]
