Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:13:09|BP|28:ac:9e:95:ac:e4|-80dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~42.0m|178415968141|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUHM|28:ac:9e:95:ac:e4|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|178321495096|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|28:ac:9e:95:ac:e5|-79dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~37.4m|178415968135|false|[ESS]
2022/09/04-20:13:09|*hidden*|28:ac:9e:95:ac:e7|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|178320692154|false|[ESS]
2022/09/04-20:13:09|ntu|28:ac:9e:95:ac:e7|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321495347|false|[ESS]
2022/09/04-20:13:09|*hidden*|28:ac:9e:95:ac:e8|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321495106|false|[ESS]
2022/09/04-20:13:09|iPortal|28:ac:9e:95:ac:e9|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321495030|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|Crop|28:ac:9e:95:ac:ea|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321495020|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|28:ac:9e:95:ac:ea|-71dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~34.7m|178415967754|false|[ESS]
2022/09/04-20:13:09|BP|28:ac:9e:95:ac:eb|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|178415967757|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUHM|28:ac:9e:95:ac:eb|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321495006|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUH-APP|28:ac:9e:95:ac:ec|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|178415967761|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|wifiphone|28:ac:9e:95:ac:ec|-78dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~33.4m|178415968116|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|WARD-N|28:ac:9e:95:ac:ed|-79dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~37.4m|178415968110|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|NTUHW|28:ac:9e:95:ac:ee|-79dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~37.4m|178415967872|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iTaiwan|28:ac:9e:95:ac:ef|-77dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~29.7m|178321494988|false|[ESS]
2022/09/04-20:13:09|DIRECT-b3-HP M452 LaserJet|46:1c:a8:80:8c:b3|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|178321495179|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iTaiwan|6c:b2:ae:2d:40:e0|-68dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~24.8m|178321495080|false|[ESS]
2022/09/04-20:13:09|NTUHW|6c:b2:ae:2d:40:e1|-68dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~24.8m|178321495087|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|wifiphone|6c:b2:ae:2d:40:e3|-67dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~22.1m|178415967682|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|Meeting-Room2|6c:b2:ae:2d:40:e4|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415968146|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|ntu|6c:b2:ae:2d:40:e4|-68dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~24.8m|178321495093|false|[ESS]
2022/09/04-20:13:09|Crop|6c:b2:ae:2d:40:e5|-68dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~24.8m|178321495207|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|iPortal|6c:b2:ae:2d:40:e6|-69dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~27.9m|178321494807|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|BP|6c:b2:ae:2d:40:e7|-67dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~22.1m|178415967732|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|6c:b2:ae:2d:40:e7|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967935|false|[ESS]
2022/09/04-20:13:09|BP|6c:b2:ae:2d:40:e8|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967931|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|6c:b2:ae:2d:40:e8|-67dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~22.1m|178415967735|false|[ESS]
2022/09/04-20:13:09|iPortal|6c:b2:ae:2d:40:e9|-60dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.2m|178415967926|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|Crop|6c:b2:ae:2d:40:ea|-61dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~4.7m|178415967921|false|[WPA2-PSK-CCMP][ESS]
