Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-18:45:53|wlnec|00:24:a5:c9:b2:62|-92dBm|11|2462MHz|9|2452MHz|40MHz (2432 - 2472)|~385.7m|173176767300|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|Meeting-Room2|00:be:75:d0:d4:a4|-84dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~68.7m|173176767831|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:45:53|IOT|00:be:75:d0:d4:a7|-84dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~68.7m|173176767743|false|[ESS]
2022/09/04-18:45:53|BP|00:be:75:d0:d4:a8|-85dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~77.1m|173176767952|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|iPortal|00:be:75:d0:d4:a9|-85dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~77.1m|173176767933|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|Crop|00:be:75:d0:d4:aa|-84dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~68.7m|173176767914|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|Meeting-Room2|00:be:75:d0:d4:ab|-86dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~195.3m|173176766938|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:45:53|ntu|00:be:75:d0:d4:ab|-85dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~77.1m|173176767901|false|[ESS]
2022/09/04-18:45:53|wifiphone|00:be:75:d0:d4:ac|-84dBm|100|5500MHz|102|5510MHz|40MHz (5490 - 5530)|~68.7m|173176767883|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:45:53|iTaiwan|00:be:75:d8:79:c0|-69dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~27.3m|173176767348|false|[ESS]
2022/09/04-18:45:53|wifiphone|00:be:75:d8:79:c3|-69dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~27.3m|173176766986|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:45:53|Meeting-Room2|00:be:75:d8:79:c4|-68dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~10.8m|173176768362|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:45:53|BP|00:be:75:d8:79:c7|-69dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~27.3m|173176767002|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|IOT|00:be:75:d8:79:c7|-68dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~10.8m|173176768349|false|[ESS]
2022/09/04-18:45:53|BP|00:be:75:d8:79:c8|-68dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~10.8m|173176768169|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-18:45:53|IOT|00:be:75:d8:79:c8|-68dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~24.3m|173176767033|false|[ESS]
2022/09/04-18:45:53|iPortal|00:be:75:d8:79:c9|-68dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~10.8m|173176768307|false|[WPA2-PSK-CCMP][ESS]
