Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-19:35:07|wifiphone|00:be:75:d5:1c:c3|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176104412251|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|Meeting-Room2|00:be:75:d5:1c:c4|-68dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~10.7m|176104412977|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|ntu|00:be:75:d5:1c:c4|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176104412498|false|[ESS]
2022/09/04-19:35:07|iPortal|00:be:75:d5:1c:c6|-72dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~39.4m|176104412511|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|BP|00:be:75:d5:1c:c7|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|176104412782|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|IOT|00:be:75:d5:1c:c7|-68dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~10.7m|176104412031|false|[ESS]
2022/09/04-19:35:07|BP|00:be:75:d5:1c:c8|-68dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~10.7m|176104412370|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|IOT|00:be:75:d5:1c:c8|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|176104412804|false|[ESS]
2022/09/04-19:35:07|iPortal|00:be:75:d5:1c:c9|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104412359|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|Crop|00:be:75:d5:1c:ca|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104412350|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|NTUH-APP|00:be:75:d5:1c:ca|-74dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~49.6m|176104412849|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|Meeting-Room2|00:be:75:d5:1c:cb|-75dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~55.6m|176104412873|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|ntu|00:be:75:d5:1c:cb|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104412342|false|[ESS]
2022/09/04-19:35:07|wifiphone|00:be:75:d5:1c:cc|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104412329|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|WARD-N|00:be:75:d5:1c:cd|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104411906|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|NTUHW|00:be:75:d5:1c:ce|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104411919|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|iTaiwan|00:be:75:d5:1c:cf|-69dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~12.0m|176104412316|false|[ESS]
2022/09/04-19:35:07|wifiphone|00:be:75:d5:24:43|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|176104412297|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|ntu|00:be:75:d5:24:44|-84dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~155.1m|176104412264|false|[ESS]
2022/09/04-19:35:07|Crop|00:be:75:d5:24:45|-83dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~138.2m|176104412277|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|NTUH-APP|00:be:75:d5:24:4a|-84dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~155.1m|176104412287|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|wifiphone|00:be:75:d5:33:a3|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104411897|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|Meeting-Room2|00:be:75:d5:33:a4|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412986|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|Crop|00:be:75:d5:33:a5|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412051|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|iPortal|00:be:75:d5:33:a6|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412061|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|BP|00:be:75:d5:33:a7|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412914|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|IOT|00:be:75:d5:33:a7|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412718|false|[ESS]
2022/09/04-19:35:07|BP|00:be:75:d5:33:a8|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412440|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|IOT|00:be:75:d5:33:a8|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412924|false|[ESS]
2022/09/04-19:35:07|iPortal|00:be:75:d5:33:a9|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412705|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|Crop|00:be:75:d5:33:aa|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412696|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|NTUH-APP|00:be:75:d5:33:aa|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412933|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:35:07|Meeting-Room2|00:be:75:d5:33:ab|-70dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~30.9m|176104412071|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|ntu|00:be:75:d5:33:ab|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412674|false|[ESS]
2022/09/04-19:35:07|wifiphone|00:be:75:d5:33:ac|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412404|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:35:07|WARD-N|00:be:75:d5:33:ad|-66dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~8.4m|176104412390|false|[WPA2-PSK-CCMP][ESS]
