Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-19:54:19|iTaiwan|00:be:75:d0:d8:00|-74dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~49.6m|177253802166|false|[ESS]
2022/09/04-19:54:19|NTUHW|00:be:75:d0:d8:01|-74dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~49.6m|177253802170|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|WARD-N|00:be:75:d0:d8:02|-74dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~49.6m|177253802631|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d0:d8:03|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|177253802468|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|Meeting-Room2|00:be:75:d0:d8:04|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802655|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|BP|00:be:75:d0:d8:07|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|177253802484|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d0:d8:07|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802338|false|[ESS]
2022/09/04-19:54:19|BP|00:be:75:d0:d8:08|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802646|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d0:d8:08|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|177253802491|false|[ESS]
2022/09/04-19:54:19|iPortal|00:be:75:d0:d8:09|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802327|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|Crop|00:be:75:d0:d8:0a|-72dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~17.1m|177253802323|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUH-APP|00:be:75:d0:d8:0a|-73dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~44.2m|177253802495|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|ntu|00:be:75:d0:d8:0b|-70dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~13.6m|177253802318|false|[ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d0:d8:0c|-70dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~13.6m|177253802313|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|WARD-N|00:be:75:d0:d8:0d|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802332|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUHW|00:be:75:d0:d8:0e|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802308|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|iTaiwan|00:be:75:d0:d8:0f|-71dBm|112|5560MHz|110|5550MHz|40MHz (5530 - 5570)|~15.2m|177253802303|false|[ESS]
2022/09/04-19:54:19|Meeting-Room2|00:be:75:d5:1c:c4|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802434|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d5:1c:c7|-88dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~107.4m|177253802690|false|[ESS]
2022/09/04-19:54:19|BP|00:be:75:d5:1c:c8|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802429|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|iPortal|00:be:75:d5:1c:c9|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802378|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|Crop|00:be:75:d5:1c:ca|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802371|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|ntu|00:be:75:d5:1c:cb|-88dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~107.4m|177253802681|false|[ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d5:1c:cc|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802366|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|WARD-N|00:be:75:d5:1c:cd|-89dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~120.5m|177253802360|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUHW|00:be:75:d5:1c:ce|-88dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~107.4m|177253802676|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|iTaiwan|00:be:75:d5:1c:cf|-88dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~107.4m|177253802353|false|[ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d5:24:43|-73dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~43.7m|177253802502|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|Meeting-Room2|00:be:75:d5:24:44|-64dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~6.6m|177253802462|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|BP|00:be:75:d5:24:47|-72dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~39.0m|177253802510|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d5:24:47|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802458|false|[ESS]
2022/09/04-19:54:19|BP|00:be:75:d5:24:48|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802451|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d5:24:48|-73dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~43.7m|177253802514|false|[ESS]
2022/09/04-19:54:19|iPortal|00:be:75:d5:24:49|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802271|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|Crop|00:be:75:d5:24:4a|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802446|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUH-APP|00:be:75:d5:24:4a|-73dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~43.7m|177253802518|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|Meeting-Room2|00:be:75:d5:24:4b|-73dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~43.7m|177253802128|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|ntu|00:be:75:d5:24:4b|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802412|false|[ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d5:24:4c|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802440|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|WARD-N|00:be:75:d5:24:4d|-64dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~6.6m|177253802265|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUHW|00:be:75:d5:24:4e|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802146|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|iTaiwan|00:be:75:d5:24:4f|-63dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~5.9m|177253802108|false|[ESS]
2022/09/04-19:54:19|iTaiwan|00:be:75:d5:33:a0|-86dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~195.3m|177253802221|false|[ESS]
2022/09/04-19:54:19|Meeting-Room2|00:be:75:d5:33:a4|-81dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~47.1m|177253802696|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d5:33:a7|-81dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~47.1m|177253802406|false|[ESS]
2022/09/04-19:54:19|BP|00:be:75:d5:33:a8|-81dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~47.1m|177253802401|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|IOT|00:be:75:d5:33:a8|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|177253802233|false|[ESS]
2022/09/04-19:54:19|iPortal|00:be:75:d5:33:a9|-82dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~52.9m|177253802395|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|Crop|00:be:75:d5:33:aa|-82dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~52.9m|177253802391|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUH-APP|00:be:75:d5:33:aa|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|177253802174|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|ntu|00:be:75:d5:33:ab|-82dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~52.9m|177253802383|false|[ESS]
2022/09/04-19:54:19|wifiphone|00:be:75:d5:33:ac|-82dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~52.9m|177253802200|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-19:54:19|WARD-N|00:be:75:d5:33:ad|-82dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~52.9m|177253802138|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-19:54:19|NTUHW|00:be:75:d5:33:ae|-81dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~47.1m|177253802096|false|[WPA2-PSK-CCMP][ESS]
