Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-18:47:09|iTaiwan|00:be:75:d0:d8:00|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429388|false|[ESS]
2022/09/04-18:47:09|NTUHW|00:be:75:d0:d8:01|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429422|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|WARD-N|00:be:75:d0:d8:02|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429445|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|wifiphone|00:be:75:d0:d8:03|-85dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~175.8m|978709429475|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|ntu|00:be:75:d0:d8:04|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429498|false|[ESS]
2022/09/04-18:47:09|Crop|00:be:75:d0:d8:05|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429519|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|iPortal|00:be:75:d0:d8:06|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429540|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|BP|00:be:75:d0:d8:07|-85dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~175.8m|978709429559|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|NTUH-APP|00:be:75:d0:d8:0a|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429595|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|Meeting-Room2|00:be:75:d0:d8:0b|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978709429627|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|*hidden*|00:be:75:d0:e2:e0|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430159|false|[ESS]
2022/09/04-18:47:09|Meeting-Room2|00:be:75:d0:e2:e1|-85dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~74.9m|978709430013|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|TEST_NTUHW|00:be:75:d0:e2:e4|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430186|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|IOT|00:be:75:d0:e2:e5|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430172|false|[ESS]
2022/09/04-18:47:09|BP|00:be:75:d0:e2:e6|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430147|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|harris|00:be:75:d0:e2:e7|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430133|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|ntu|00:be:75:d0:e2:e8|-85dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~74.9m|978709430119|false|[ESS]
2022/09/04-18:47:09|iPortal|00:be:75:d0:e2:e9|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430105|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|IOT|00:be:75:d0:e2:ea|-85dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~172.3m|978709430410|false|[ESS]
2022/09/04-18:47:09|TEST_NTUHW|00:be:75:d0:e2:eb|-86dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~193.3m|978709430374|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|wifiphone|00:be:75:d0:e2:ec|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430067|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|WARD-N|00:be:75:d0:e2:ed|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430053|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|Meeting-Room2|00:be:75:d0:e2:ee|-85dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~172.3m|978709430435|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:47:09|iTaiwan|00:be:75:d0:e2:ef|-86dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~84.1m|978709430027|false|[ESS]
2022/09/04-18:47:09|iTaiwan|00:be:75:d5:24:40|-83dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~138.2m|978709429834|false|[ESS]
2022/09/04-18:47:09|WARD-N|00:be:75:d5:24:42|-84dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~155.1m|978709429846|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:47:09|Meeting-Room2|00:be:75:d5:24:44|-86dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~82.8m|978709431209|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
