Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-18:40:10|wlnec|00:24:a5:c9:b2:62|-75dBm|11|2462MHz|9|2452MHz|40MHz (2432 - 2472)|~54.5m|978300635345|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|iTaiwan|00:be:75:d0:d8:00|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634630|false|[ESS]
2022/09/04-18:40:10|NTUHW|00:be:75:d0:d8:01|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634642|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|WARD-N|00:be:75:d0:d8:02|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|978300634653|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|wifiphone|00:be:75:d0:d8:03|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|978300634666|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:40:10|ntu|00:be:75:d0:d8:04|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634673|false|[ESS]
2022/09/04-18:40:10|Crop|00:be:75:d0:d8:05|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634683|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|iPortal|00:be:75:d0:d8:06|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|978300634687|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|BP|00:be:75:d0:d8:07|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634690|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:40:10|IOT|00:be:75:d0:d8:08|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|978300634693|false|[ESS]
