Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-18:07:26|wlnec|00:24:a5:c9:b2:62|-68dBm|11|2462MHz|9|2452MHz|40MHz (2432 - 2472)|~24.3m|976346089742|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:09:dd:41|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|976346089609|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:09:dd:42|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|976350877948|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUHM|00:be:75:09:dd:44|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|976350877974|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d0:d6:c0|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|976346089612|false|[ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d0:d6:c1|-84dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~156.7m|976350877961|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d0:d6:c2|-86dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~197.3m|976346089617|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Meeting-Room2|00:be:75:d0:d6:c4|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089977|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|IOT|00:be:75:d0:d6:c7|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089974|false|[ESS]
2022/09/04-18:07:26|BP|00:be:75:d0:d6:c8|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089970|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d0:d6:c9|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089967|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d0:d6:ca|-87dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~94.0m|976350878678|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUH-APP|00:be:75:d0:d6:ca|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|976346089582|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Meeting-Room2|00:be:75:d0:d6:cb|-87dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~221.4m|976346089585|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|ntu|00:be:75:d0:d6:cb|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976350878671|false|[ESS]
2022/09/04-18:07:26|wifiphone|00:be:75:d0:d6:cc|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089957|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d0:d6:cd|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089954|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d0:d6:ce|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089935|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d0:d6:cf|-86dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~83.8m|976346089916|false|[ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d5:24:40|-84dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~155.1m|976350878156|false|[ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d5:24:42|-83dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~138.2m|976346089673|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Meeting-Room2|00:be:75:d5:24:44|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878245|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d5:24:45|-83dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~138.2m|976346089681|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d5:24:46|-83dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~138.2m|976346089687|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|BP|00:be:75:d5:24:47|-85dBm|6|2437MHz|6|2437MHz|20MHz (2427 - 2447)|~174.0m|976350878117|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|IOT|00:be:75:d5:24:47|-85dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~73.8m|976346089739|false|[ESS]
2022/09/04-18:07:26|BP|00:be:75:d5:24:48|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878235|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d5:24:49|-84dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~65.8m|976346089734|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d5:24:4a|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878263|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|ntu|00:be:75:d5:24:4b|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878206|false|[ESS]
2022/09/04-18:07:26|wifiphone|00:be:75:d5:24:4c|-84dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~65.8m|976350878184|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d5:24:4d|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878179|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d5:24:4e|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878257|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d5:24:4f|-83dBm|149|5745MHz|151|5755MHz|40MHz (5735 - 5775)|~58.6m|976350878252|false|[ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d5:25:80|-58dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~7.7m|976350878364|false|[ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d5:25:81|-58dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~7.7m|976350878376|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d5:25:82|-59dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~8.6m|976350878385|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|wifiphone|00:be:75:d5:25:83|-58dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~7.7m|976346089764|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|Meeting-Room2|00:be:75:d5:25:84|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089894|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d5:25:85|-59dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~8.6m|976346089825|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d5:25:86|-58dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~7.7m|976346089827|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|IOT|00:be:75:d5:25:87|-71dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~15.2m|976346089891|false|[ESS]
2022/09/04-18:07:26|BP|00:be:75:d5:25:88|-71dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~15.2m|976346089888|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d5:25:89|-71dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~15.2m|976346089884|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d5:25:8a|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089881|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|ntu|00:be:75:d5:25:8b|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089877|false|[ESS]
2022/09/04-18:07:26|wifiphone|00:be:75:d5:25:8c|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089874|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d5:25:8d|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089871|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d5:25:8e|-71dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~15.2m|976346089868|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d5:25:8f|-70dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~13.5m|976346089865|false|[ESS]
2022/09/04-18:07:26|iTaiwan|00:be:75:d5:2c:20|-64dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~15.4m|976350878355|false|[ESS]
2022/09/04-18:07:26|NTUHW|00:be:75:d5:2c:21|-61dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~10.9m|976350878359|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|WARD-N|00:be:75:d5:2c:22|-67dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~21.7m|976346089791|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|wifiphone|00:be:75:d5:2c:23|-64dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~15.4m|976350878314|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|Meeting-Room2|00:be:75:d5:2c:24|-69dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~11.8m|976346089951|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:07:26|Crop|00:be:75:d5:2c:25|-64dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~15.4m|976350878381|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|iPortal|00:be:75:d5:2c:26|-64dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~15.4m|976350878390|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:07:26|IOT|00:be:75:d5:2c:27|-70dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~13.3m|976346089947|false|[ESS]
2022/09/04-18:07:26|BP|00:be:75:d5:2c:28|-70dBm|136|5680MHz|134|5670MHz|40MHz (5650 - 5690)|~13.3m|976346089944|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
