Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-18:01:01|wlnec|00:24:a5:c9:b2:62|-63dBm|11|2462MHz|9|2452MHz|40MHz (2432 - 2472)|~13.7m|975949529819|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|Meeting-Room2|00:be:75:c9:75:e4|-82dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~54.2m|975932127371|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:01:01|IOT|00:be:75:c9:75:e7|-83dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~60.8m|975932127415|false|[ESS]
2022/09/04-18:01:01|BP|00:be:75:c9:75:e8|-83dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~60.8m|975932127406|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|iPortal|00:be:75:c9:75:e9|-84dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~68.2m|975932127399|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|Crop|00:be:75:c9:75:ea|-84dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~68.2m|975932127391|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|ntu|00:be:75:c9:75:eb|-84dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~68.2m|975932127384|false|[ESS]
2022/09/04-18:01:01|wifiphone|00:be:75:c9:75:ec|-84dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~68.2m|975932127375|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
2022/09/04-18:01:01|iTaiwan|00:be:75:c9:75:ef|-84dBm|108|5540MHz|110|5550MHz|40MHz (5530 - 5570)|~68.2m|975932127366|false|[ESS]
2022/09/04-18:01:01|iTaiwan|00:be:75:d0:d6:c0|-79dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~88.1m|975932127077|false|[ESS]
2022/09/04-18:01:01|NTUHW|00:be:75:d0:d6:c1|-79dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~88.1m|975932127088|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|WARD-N|00:be:75:d0:d6:c2|-79dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~88.1m|975932127097|false|[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]
2022/09/04-18:01:01|wifiphone|00:be:75:d0:d6:c3|-79dBm|1|2412MHz|1|2412MHz|20MHz (2402 - 2422)|~88.1m|975932127120|false|[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS]
